run_id,num_tasks,checkpoint_step,prompt_source,prompt_length,n_samples,n_samples_prior,n_prompts,prompt_idx,dist/ed_vs_baseline_memorising,dist/ed_vs_baseline_generalising,dist/sw_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/ed_vs_baseline_misspecified,dist/sw_vs_baseline_misspecified
5s87k2pz,256,150000,generalising,8,100,0,50,11,3.4426000118255615,0.4904656326896304,0.5943065184265359,0.2504070674692266,0.5263262987136841,0.2494903639590207
5s87k2pz,256,150000,generalising,8,100,0,50,12,0.7480672597885132,0.717657349847167,0.3346964338150174,0.3407786930246431,0.8228257894515991,0.3470729656208003
5s87k2pz,256,150000,generalising,8,100,0,50,13,1.0118043422698977,0.3863970114422594,0.3266919937133952,0.2266374485754876,0.2085788249969482,0.1550695870759621
5s87k2pz,256,150000,generalising,8,100,0,50,14,3.32212495803833,1.9202852164946176,0.6275132797261262,0.5873863983136597,2.555137634277344,0.7010839733816009
5s87k2pz,256,150000,generalising,8,100,0,50,15,2.577695608139038,0.7633786507177085,0.5521953448431729,0.3605551991052,0.7098739147186279,0.4205401717291479
5s87k2pz,256,150000,generalising,8,100,0,50,16,2.384939670562744,1.3360551071926563,0.4457086417175743,0.4505509220124012,1.65903902053833,0.5262408239361571
5s87k2pz,256,150000,generalising,8,100,0,50,17,1.1619843244552612,0.4414367140582909,0.3799193943679457,0.2851383568447624,0.3065365552902221,0.2409479016467179
5s87k2pz,256,150000,generalising,8,100,0,50,18,2.972285270690918,0.2426644018813883,0.6009450790448535,0.2075627557838367,0.2598675489425659,0.1820832286484348
5s87k2pz,256,150000,generalising,8,100,0,50,19,1.456157922744751,0.3042184194736037,0.3804852601639997,0.2045596253619921,0.5244673490524292,0.2546958042642591
5s87k2pz,256,150000,generalising,8,100,0,50,20,1.3959994316101074,0.2179052020834175,0.386055731363661,0.1979039776337157,0.1431010961532592,0.151727054892605
5s87k2pz,256,150000,generalising,8,100,0,50,21,0.9300137162208556,0.3739595656526906,0.2900716388895961,0.2166190646788536,0.4691342115402221,0.2426171696694973
5s87k2pz,256,150000,generalising,8,100,0,50,22,3.104778289794922,0.2862670780608809,0.7088022881316052,0.2125456474668761,0.2813678979873657,0.1978395427615396
5s87k2pz,256,150000,generalising,8,100,0,50,23,0.9739582538604736,0.2353059024640109,0.3548037368134942,0.2212641449581735,0.3049150705337524,0.2066791553403325
5s87k2pz,256,150000,generalising,8,100,0,50,24,1.7617247104644775,0.3971026453834574,0.4716081811875235,0.2588649457701305,0.3309216499328613,0.222540832843565
5s87k2pz,256,150000,generalising,8,100,0,50,25,1.7427949905395508,0.831328134026339,0.3821175172193661,0.3492575943885931,0.8829798698425293,0.3626176375708597
5s87k2pz,256,150000,generalising,8,100,0,50,26,1.0997785329818726,0.4153569524330069,0.4343698356623103,0.2339650842257727,0.4721113443374634,0.2665700210022452
5s87k2pz,256,150000,generalising,8,100,0,50,27,2.3837637901306152,0.2193635052704798,0.5698415395971452,0.2012275894227407,0.1956787109375,0.1819890242755918
5s87k2pz,256,150000,generalising,8,100,0,50,28,1.9154438972473145,0.2779950953341028,0.5211687766833881,0.2139070166092866,0.0416129827499389,0.1072433028676861
