run_id,num_tasks,checkpoint_step,data_memorising/delta_vs_baseline_generalising,data_memorising/delta_vs_baseline_memorising,data_generalising/delta_vs_baseline_generalising,data_generalising/delta_vs_baseline_memorising,prompt_source,dist/ed_vs_baseline_generalising,dist/ed_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/sw_vs_baseline_memorising
tqoxn029,8,100000,0.1383853107690811,0.0008231501560658,0.1768443882465362,0.0013491552090272,data_memorising,0.1224903316469863,0.0306687184638576,0.0404254255669327,0.0140397422224366
tqoxn029,8,100000,0.1383853107690811,0.0008231501560658,0.1768443882465362,0.0013491552090272,data_generalising,0.1929500284604728,0.0314703518088208,0.0510899657533991,0.0154042714286271
7shh42h0,16,100000,0.1077750027179718,0.0012675262987613,0.1156177818775177,0.0024218587204813,data_memorising,0.1216839823173359,0.0296441865357337,0.0402260684268212,0.0141140454045399
7shh42h0,16,100000,0.1077750027179718,0.0012675262987613,0.1156177818775177,0.0024218587204813,prior,0.0213966369628906,0.000777930021286,0.0231747795204707,0.0132601882447278
7shh42h0,16,100000,0.1077750027179718,0.0012675262987613,0.1156177818775177,0.0024218587204813,data_generalising,0.1440825334284454,0.0276521576306549,0.0441838310344008,0.0160340540172978
7gem57bz,32,100000,0.0758662074804306,0.0022124690003693,0.0799005851149559,0.0036269431002438,data_memorising,0.1061818250454962,0.0293066400336101,0.0377788327509475,0.0146250571407312
7gem57bz,32,100000,0.0758662074804306,0.0022124690003693,0.0799005851149559,0.0036269431002438,prior,0.0095411539077758,0.0006449520587921,0.0197849668148759,0.0140752981181493
7gem57bz,32,100000,0.0758662074804306,0.0022124690003693,0.0799005851149559,0.0036269431002438,data_generalising,0.11698405793868,0.0259344150254037,0.0400156137331407,0.0163012527622597
7gbdequ3,64,100000,0.0535883530974388,0.0030215228907763,0.0542551651597023,0.0039378516376018,data_generalising,0.0802021833369508,0.0226276775065343,0.0336231801867637,0.016580132962465
7gbdequ3,64,100000,0.0535883530974388,0.0030215228907763,0.0542551651597023,0.0039378516376018,prior,0.0112703740596771,-0.0023153424263,0.0206347292458629,0.0106358832271327
7gbdequ3,64,100000,0.0535883530974388,0.0030215228907763,0.0542551651597023,0.0039378516376018,data_memorising,0.0934027604525908,0.0260413987125502,0.0352000275088845,0.014608640352093
pof780dl,128,100000,0.0340400077402591,0.0046340096741914,0.0325501635670661,0.005618265364319,data_memorising,0.0619143611984327,0.0279881189198931,0.0290037452441958,0.0169753888491605
pof780dl,128,100000,0.0340400077402591,0.0046340096741914,0.0325501635670661,0.005618265364319,prior,0.0008434355258941,-8.559226989746094e-05,0.0142289770051669,0.0130662075334653
pof780dl,128,100000,0.0340400077402591,0.0046340096741914,0.0325501635670661,0.005618265364319,data_generalising,0.0567116286838427,0.0266566608916036,0.0281157913891321,0.0180893095318451
0sngbuv1,256,100000,0.019622977823019,0.0056299148127436,0.0187573134899139,0.0064214412122964,prior,0.0028790831565856,0.0031512677669525,0.0156409911740259,0.0153738611717021
0sngbuv1,256,100000,0.019622977823019,0.0056299148127436,0.0187573134899139,0.0064214412122964,data_memorising,0.0347364565823227,0.0314095714420545,0.0224420400090571,0.0193800485603805
0sngbuv1,256,100000,0.019622977823019,0.0056299148127436,0.0187573134899139,0.0064214412122964,data_generalising,0.0309631410054862,0.0306877951370552,0.021759555819151,0.020142571280359
tjmlwajq,512,100000,0.0111482944339513,0.0045427717268466,0.0107548497617244,0.004480174742639,data_memorising,0.0214689706917852,0.0296656791470013,0.0187135330743638,0.0193368240647829
tjmlwajq,512,100000,0.0111482944339513,0.0045427717268466,0.0107548497617244,0.004480174742639,data_generalising,0.0210585495224222,0.0256448727450333,0.0185737832243319,0.0191787730464345
tjmlwajq,512,100000,0.0111482944339513,0.0045427717268466,0.0107548497617244,0.004480174742639,prior,0.001748114824295,0.0022006332874298,0.0138841230110562,0.0150419786503786
e3laprz5,1024,100000,0.0061112227849662,0.0035522805992513,0.0061268676072359,0.0032839952036738,data_memorising,0.0145820367615669,0.0230089286342263,0.0157831316568116,0.0174820750283399
e3laprz5,1024,100000,0.0061112227849662,0.0035522805992513,0.0061268676072359,0.0032839952036738,prior,-9.059906005859377e-06,0.0027943849563598,0.0131219313548477,0.016675473124201
e3laprz5,1024,100000,0.0061112227849662,0.0035522805992513,0.0061268676072359,0.0032839952036738,data_generalising,0.0140175789128988,0.0196852547815069,0.0158792752913841,0.0173824712662645
880rm7ou,2048,100000,0.0028450810350477,0.0023247227072715,0.0031675565987825,0.0021622104104608,prior,0.0024385750293731,0.0002890825271606,0.0154887194358973,0.0135911085977365
880rm7ou,2048,100000,0.0028450810350477,0.0023247227072715,0.0031675565987825,0.0021622104104608,data_generalising,0.0096103803953155,0.0155805611866526,0.0142415400737631,0.0160384617452828
880rm7ou,2048,100000,0.0028450810350477,0.0023247227072715,0.0031675565987825,0.0021622104104608,data_memorising,0.008914318983443,0.0193259100196883,0.0139692293077467,0.016992126016333
ku7hmtcg,4096,100000,0.0017921874532476,0.0016919808695092,0.0018525165505707,0.0017399343196302,data_generalising,0.0073531663510948,0.0141833588131703,0.013275851297616,0.0152741271255508
ku7hmtcg,4096,100000,0.0017921874532476,0.0016919808695092,0.0018525165505707,0.0017399343196302,prior,-0.0010779500007629,0.0002868771553039,0.0118937003944446,0.0130390966045049
ku7hmtcg,4096,100000,0.0017921874532476,0.0016919808695092,0.0018525165505707,0.0017399343196302,data_memorising,0.0068329548230394,0.0147787233581766,0.013000415445852,0.0156191208934917
